2025-04-26 19:48:43,774 - INFO - Loading model and encoder...
2025-04-26 19:48:43,860 - INFO - Processing text: Okay, here are 5 blog titles, outlines, and a rich text editor representation based on the "movie" n...
2025-04-26 19:48:43,976 - INFO - Extracted keywords: []
2025-04-26 19:50:10,656 - INFO - Loading model and encoder...
2025-04-26 19:50:11,606 - INFO - Processing text: Okay, here are 5 blog titles and their outlines, formatted for a rich text editor, based on the "mov...
2025-04-26 19:50:11,663 - INFO - Extracted keywords: []
2025-04-26 19:50:16,549 - INFO - Loading model and encoder...
2025-04-26 19:50:17,307 - INFO - Processing text: Okay, here are 5 blog titles and their outlines, formatted for a rich text editor, based on the "mov...
2025-04-26 19:50:17,360 - INFO - Extracted keywords: []
2025-04-26 20:10:31,516 - INFO - Loading model and encoder...
2025-04-26 20:10:32,427 - INFO - Processing text: Okay, here are 5 blog titles tailored to a "movie" niche with a "general" audience, along with blog ...
2025-04-26 20:10:32,484 - INFO - Extracted keywords: []
2025-04-26 20:11:29,228 - INFO - Loading model and encoder...
2025-04-28 11:29:27,128 - INFO - Keyword: freelance, Probability: 0.139
2025-04-28 11:29:27,128 - INFO - Keyword: freelancing, Probability: 0.131
2025-04-28 11:29:27,128 - INFO - Keyword: future, Probability: 0.157
2025-04-28 11:29:27,128 - INFO - Keyword: future tech, Probability: 0.146
2025-04-28 11:29:27,128 - INFO - Keyword: future_of_work, Probability: 0.137
2025-04-28 11:29:27,128 - INFO - Keyword: gadgets, Probability: 0.411
2025-04-28 11:29:27,128 - INFO - Keyword: glowing skin, Probability: 0.135
2025-04-28 11:29:27,128 - INFO - Keyword: glowing_skin, Probability: 0.133
2025-04-28 11:29:27,128 - INFO - Keyword: graphic design, Probability: 0.125
2025-04-28 11:29:27,128 - INFO - Keyword: graphic_design, Probability: 0.139
2025-04-28 11:29:27,128 - INFO - Keyword: growth, Probability: 0.147
2025-04-28 11:29:27,128 - INFO - Keyword: growth hacking, Probability: 0.167
2025-04-28 11:29:27,128 - INFO - Keyword: health, Probability: 0.182
2025-04-28 11:29:27,128 - INFO - Keyword: healthy, Probability: 0.131
2025-04-28 11:29:27,128 - INFO - Keyword: healthy eating, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: healthy_eating, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: hiking, Probability: 0.130
2025-04-28 11:29:27,129 - INFO - Keyword: home workouts, Probability: 0.143
2025-04-28 11:29:27,129 - INFO - Keyword: home_workout, Probability: 0.130
2025-04-28 11:29:27,129 - INFO - Keyword: impact, Probability: 0.155
2025-04-28 11:29:27,129 - INFO - Keyword: innovation, Probability: 0.243
2025-04-28 11:29:27,129 - INFO - Keyword: instagram, Probability: 0.411
2025-04-28 11:29:27,129 - INFO - Keyword: investing, Probability: 0.194
2025-04-28 11:29:27,129 - INFO - Keyword: job search, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: jobs, Probability: 0.129
2025-04-28 11:29:27,129 - INFO - Keyword: journaling, Probability: 0.145
2025-04-28 11:29:27,129 - INFO - Keyword: language learning, Probability: 0.137
2025-04-28 11:29:27,129 - INFO - Keyword: learning, Probability: 0.155
2025-04-28 11:29:27,129 - INFO - Keyword: linkedin, Probability: 0.147
2025-04-28 11:29:27,129 - INFO - Keyword: marketing, Probability: 0.773
2025-04-28 11:29:27,129 - INFO - Keyword: marketing strategies, Probability: 0.162
2025-04-28 11:29:27,129 - INFO - Keyword: marketing strategy, Probability: 0.686
2025-04-28 11:29:27,129 - INFO - Keyword: meal_prep, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: meditation, Probability: 0.159
2025-04-28 11:29:27,129 - INFO - Keyword: mental health, Probability: 0.142
2025-04-28 11:29:27,129 - INFO - Keyword: mental_health, Probability: 0.193
2025-04-28 11:29:27,129 - INFO - Keyword: mindfulness, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: mindfulness meditation, Probability: 0.136
2025-04-28 11:29:27,129 - INFO - Keyword: minimalist design, Probability: 0.128
2025-04-28 11:29:27,129 - INFO - Keyword: mistakes, Probability: 0.174
2025-04-28 11:29:27,129 - INFO - Keyword: mobile app design, Probability: 0.142
2025-04-28 11:29:27,129 - INFO - Keyword: motivation, Probability: 0.140
2025-04-28 11:29:27,129 - INFO - Keyword: networking, Probability: 0.147
2025-04-28 11:29:27,129 - INFO - Keyword: nutrition, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: online courses, Probability: 0.129
2025-04-28 11:29:27,129 - INFO - Keyword: online jobs, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: personal_branding, Probability: 0.411
2025-04-28 11:29:27,129 - INFO - Keyword: personal_growth, Probability: 0.145
2025-04-28 11:29:27,129 - INFO - Keyword: pet_care, Probability: 0.138
2025-04-28 11:29:27,129 - INFO - Keyword: podcast, Probability: 0.140
2025-04-28 11:29:27,129 - INFO - Keyword: podcast setup, Probability: 0.139
2025-04-28 11:29:27,129 - INFO - Keyword: podcasting, Probability: 0.139
2025-04-28 11:29:27,129 - INFO - Keyword: productivity, Probability: 0.220
2025-04-28 11:29:27,129 - INFO - Keyword: products, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: professionals, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: programming, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: project management, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: public speaking, Probability: 0.129
2025-04-28 11:29:27,129 - INFO - Keyword: public_speaking, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: real estate, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: recipes, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: remote teams, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: remote work, Probability: 0.159
2025-04-28 11:29:27,129 - INFO - Keyword: remote_work, Probability: 0.137
2025-04-28 11:29:27,129 - INFO - Keyword: resume writing, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: resume_writing, Probability: 0.137
2025-04-28 11:29:27,129 - INFO - Keyword: saving money, Probability: 0.135
2025-04-28 11:29:27,129 - INFO - Keyword: saving_money, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: security, Probability: 0.142
2025-04-28 11:29:27,129 - INFO - Keyword: self care, Probability: 0.128
2025-04-28 11:29:27,129 - INFO - Keyword: self improvement, Probability: 0.137
2025-04-28 11:29:27,129 - INFO - Keyword: self publishing, Probability: 0.147
2025-04-28 11:29:27,129 - INFO - Keyword: side hustle ideas, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: skills, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: skincare, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: skincare routine, Probability: 0.135
2025-04-28 11:29:27,129 - INFO - Keyword: small business, Probability: 0.129
2025-04-28 11:29:27,129 - INFO - Keyword: small_business, Probability: 0.510
2025-04-28 11:29:27,129 - INFO - Keyword: smart investments, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: smoothie, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: social_media, Probability: 0.622
2025-04-28 11:29:27,129 - INFO - Keyword: solo travel, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: solo_trip, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: startup, Probability: 0.170
2025-04-28 11:29:27,129 - INFO - Keyword: startups, Probability: 0.167
2025-04-28 11:29:27,129 - INFO - Keyword: stock_market, Probability: 0.137
2025-04-28 11:29:27,129 - INFO - Keyword: stocks, Probability: 0.147
2025-04-28 11:29:27,129 - INFO - Keyword: strategies, Probability: 0.173
2025-04-28 11:29:27,129 - INFO - Keyword: strategy, Probability: 0.510
2025-04-28 11:29:27,129 - INFO - Keyword: stress relief, Probability: 0.136
2025-04-28 11:29:27,129 - INFO - Keyword: stress_relief, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: summer, Probability: 0.131
2025-04-28 11:29:27,129 - INFO - Keyword: summer_adventure, Probability: 0.130
2025-04-28 11:29:27,129 - INFO - Keyword: sustainability, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: technology, Probability: 0.350
2025-04-28 11:29:27,129 - INFO - Keyword: tiktok, Probability: 0.140
2025-04-28 11:29:27,129 - INFO - Keyword: time_management, Probability: 0.176
2025-04-28 11:29:27,129 - INFO - Keyword: tips, Probability: 0.138
2025-04-28 11:29:27,129 - INFO - Keyword: tools, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: tourism, Probability: 0.135
2025-04-28 11:29:27,129 - INFO - Keyword: trails, Probability: 0.130
2025-04-28 11:29:27,129 - INFO - Keyword: travel, Probability: 0.135
2025-04-28 11:29:27,129 - INFO - Keyword: travel destinations, Probability: 0.132
2025-04-28 11:29:27,129 - INFO - Keyword: travel_safety, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: trends, Probability: 0.145
2025-04-28 11:29:27,129 - INFO - Keyword: ui_ux, Probability: 0.145
2025-04-28 11:29:27,129 - INFO - Keyword: video marketing, Probability: 0.148
2025-04-28 11:29:27,129 - INFO - Keyword: videos, Probability: 0.139
2025-04-28 11:29:27,129 - INFO - Keyword: viral content, Probability: 0.126
2025-04-28 11:29:27,129 - INFO - Keyword: viral_content, Probability: 0.507
2025-04-28 11:29:27,129 - INFO - Keyword: web design, Probability: 0.128
2025-04-28 11:29:27,129 - INFO - Keyword: website, Probability: 0.128
2025-04-28 11:29:27,129 - INFO - Keyword: website creation, Probability: 0.140
2025-04-28 11:29:27,129 - INFO - Keyword: website_design, Probability: 0.145
2025-04-28 11:29:27,129 - INFO - Keyword: weight_loss, Probability: 0.134
2025-04-28 11:29:27,129 - INFO - Keyword: wellbeing, Probability: 0.194
2025-04-28 11:29:27,129 - INFO - Keyword: wellness, Probability: 0.199
2025-04-28 11:29:27,129 - INFO - Keyword: work from home, Probability: 0.126
2025-04-28 11:29:27,129 - INFO - Keyword: work-life balance, Probability: 0.133
2025-04-28 11:29:27,129 - INFO - Keyword: work_from_home, Probability: 0.140
2025-04-28 11:29:27,130 - INFO - Keyword: work_life_balance, Probability: 0.133
2025-04-28 11:29:27,130 - INFO - Keyword: yoga, Probability: 0.154
2025-04-28 11:29:27,130 - INFO - Keyword: young professionals, Probability: 0.128
2025-04-28 11:30:17,028 - INFO - Loading model and encoder...
2025-04-28 11:30:17,583 - INFO - Processing text: Okay, here are 5 blog titles and outlines geared towards a **business audience** interested in **con...
2025-04-28 11:30:17,592 - INFO - Extracted keywords: ['ai', 'business', 'career', 'content creation', 'content marketing', 'content_marketing', 'creative_industries', 'digital_marketing', 'enthusiasts', 'entrepreneurship', 'finance', 'fitness', 'gadgets', 'impact', 'innovation', 'instagram', 'marketing', 'marketing strategy', 'mental_health', 'personal_branding', 'productivity', 'small_business', 'social_media', 'strategy', 'technology', 'viral_content', 'wellbeing', 'wellness']
2025-04-28 11:30:17,592 - INFO - Keyword: AI, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: Canva, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: ML, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: NFTs, Probability: 0.146
2025-04-28 11:30:17,592 - INFO - Keyword: SEO, Probability: 0.136
2025-04-28 11:30:17,592 - INFO - Keyword: TikTok, Probability: 0.120
2025-04-28 11:30:17,592 - INFO - Keyword: UI/UX, Probability: 0.152
2025-04-28 11:30:17,592 - INFO - Keyword: WordPress, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: YouTube optimization, Probability: 0.136
2025-04-28 11:30:17,592 - INFO - Keyword: adventure, Probability: 0.158
2025-04-28 11:30:17,592 - INFO - Keyword: affordable, Probability: 0.133
2025-04-28 11:30:17,592 - INFO - Keyword: ai, Probability: 0.296
2025-04-28 11:30:17,592 - INFO - Keyword: app interface, Probability: 0.152
2025-04-28 11:30:17,592 - INFO - Keyword: apps, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: art market, Probability: 0.146
2025-04-28 11:30:17,592 - INFO - Keyword: awareness, Probability: 0.142
2025-04-28 11:30:17,592 - INFO - Keyword: basics, Probability: 0.173
2025-04-28 11:30:17,592 - INFO - Keyword: beauty, Probability: 0.136
2025-04-28 11:30:17,592 - INFO - Keyword: beauty_routine, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: belly_fat, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: blockchain, Probability: 0.157
2025-04-28 11:30:17,592 - INFO - Keyword: blogging, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: branding, Probability: 0.156
2025-04-28 11:30:17,592 - INFO - Keyword: budget_travel, Probability: 0.145
2025-04-28 11:30:17,592 - INFO - Keyword: budgeting, Probability: 0.142
2025-04-28 11:30:17,592 - INFO - Keyword: business, Probability: 0.615
2025-04-28 11:30:17,592 - INFO - Keyword: business growth, Probability: 0.156
2025-04-28 11:30:17,592 - INFO - Keyword: business tips, Probability: 0.131
2025-04-28 11:30:17,592 - INFO - Keyword: business_growth, Probability: 0.145
2025-04-28 11:30:17,592 - INFO - Keyword: buying home, Probability: 0.132
2025-04-28 11:30:17,592 - INFO - Keyword: career, Probability: 0.233
2025-04-28 11:30:17,592 - INFO - Keyword: career growth, Probability: 0.131
2025-04-28 11:30:17,592 - INFO - Keyword: career options, Probability: 0.132
2025-04-28 11:30:17,592 - INFO - Keyword: career_tips, Probability: 0.141
2025-04-28 11:30:17,592 - INFO - Keyword: coding practices, Probability: 0.141
2025-04-28 11:30:17,592 - INFO - Keyword: collaboration, Probability: 0.152
2025-04-28 11:30:17,592 - INFO - Keyword: communication, Probability: 0.143
2025-04-28 11:30:17,592 - INFO - Keyword: confidence, Probability: 0.143
2025-04-28 11:30:17,592 - INFO - Keyword: content creation, Probability: 0.201
2025-04-28 11:30:17,592 - INFO - Keyword: content marketing, Probability: 0.572
2025-04-28 11:30:17,592 - INFO - Keyword: content_creation, Probability: 0.152
2025-04-28 11:30:17,592 - INFO - Keyword: content_marketing, Probability: 0.427
2025-04-28 11:30:17,592 - INFO - Keyword: creative_industries, Probability: 0.224
2025-04-28 11:30:17,592 - INFO - Keyword: creativity, Probability: 0.149
2025-04-28 11:30:17,592 - INFO - Keyword: crypto, Probability: 0.146
2025-04-28 11:30:17,592 - INFO - Keyword: crypto basics, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: cryptocurrency, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: cybersecurity, Probability: 0.146
2025-04-28 11:30:17,592 - INFO - Keyword: cybersecurity threats, Probability: 0.153
2025-04-28 11:30:17,592 - INFO - Keyword: data science, Probability: 0.132
2025-04-28 11:30:17,592 - INFO - Keyword: design tools, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: destinations, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: development, Probability: 0.141
2025-04-28 11:30:17,592 - INFO - Keyword: digital marketing, Probability: 0.159
2025-04-28 11:30:17,592 - INFO - Keyword: digital_marketing, Probability: 0.223
2025-04-28 11:30:17,592 - INFO - Keyword: digital_nomad, Probability: 0.130
2025-04-28 11:30:17,592 - INFO - Keyword: dogs, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: e-commerce, Probability: 0.185
2025-04-28 11:30:17,592 - INFO - Keyword: eBook writing, Probability: 0.148
2025-04-28 11:30:17,592 - INFO - Keyword: eco_friendly, Probability: 0.131
2025-04-28 11:30:17,592 - INFO - Keyword: education, Probability: 0.132
2025-04-28 11:30:17,592 - INFO - Keyword: electric_cars, Probability: 0.139
2025-04-28 11:30:17,592 - INFO - Keyword: email marketing, Probability: 0.159
2025-04-28 11:30:17,592 - INFO - Keyword: email_marketing, Probability: 0.145
2025-04-28 11:30:17,592 - INFO - Keyword: engagement, Probability: 0.130
2025-04-28 11:30:17,592 - INFO - Keyword: engineering, Probability: 0.132
2025-04-28 11:30:17,592 - INFO - Keyword: enthusiasts, Probability: 0.425
2025-04-28 11:30:17,592 - INFO - Keyword: entrepreneurship, Probability: 0.225
2025-04-28 11:30:17,592 - INFO - Keyword: equipment, Probability: 0.133
2025-04-28 11:30:17,592 - INFO - Keyword: europe, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: exercise, Probability: 0.134
2025-04-28 11:30:17,592 - INFO - Keyword: exercises, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: extra income, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: finance, Probability: 0.213
2025-04-28 11:30:17,592 - INFO - Keyword: financial planning, Probability: 0.130
2025-04-28 11:30:17,592 - INFO - Keyword: fitness, Probability: 0.219
2025-04-28 11:30:17,592 - INFO - Keyword: freelance, Probability: 0.134
2025-04-28 11:30:17,592 - INFO - Keyword: freelancing, Probability: 0.133
2025-04-28 11:30:17,592 - INFO - Keyword: future, Probability: 0.139
2025-04-28 11:30:17,592 - INFO - Keyword: future tech, Probability: 0.137
2025-04-28 11:30:17,592 - INFO - Keyword: future_of_work, Probability: 0.130
2025-04-28 11:30:17,592 - INFO - Keyword: gadgets, Probability: 0.425
2025-04-28 11:30:17,592 - INFO - Keyword: glowing skin, Probability: 0.136
2025-04-28 11:30:17,592 - INFO - Keyword: glowing_skin, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: graphic design, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: graphic_design, Probability: 0.149
2025-04-28 11:30:17,592 - INFO - Keyword: growth, Probability: 0.130
2025-04-28 11:30:17,592 - INFO - Keyword: growth hacking, Probability: 0.131
2025-04-28 11:30:17,592 - INFO - Keyword: health, Probability: 0.186
2025-04-28 11:30:17,592 - INFO - Keyword: healthy, Probability: 0.133
2025-04-28 11:30:17,592 - INFO - Keyword: healthy eating, Probability: 0.135
2025-04-28 11:30:17,592 - INFO - Keyword: healthy_eating, Probability: 0.137
2025-04-28 11:30:17,593 - INFO - Keyword: hiking, Probability: 0.132
2025-04-28 11:30:17,593 - INFO - Keyword: home workouts, Probability: 0.134
2025-04-28 11:30:17,593 - INFO - Keyword: home_workout, Probability: 0.133
2025-04-28 11:30:17,593 - INFO - Keyword: impact, Probability: 0.224
2025-04-28 11:30:17,593 - INFO - Keyword: innovation, Probability: 0.264
2025-04-28 11:30:17,593 - INFO - Keyword: instagram, Probability: 0.425
2025-04-28 11:30:17,593 - INFO - Keyword: investing, Probability: 0.176
2025-04-28 11:30:17,593 - INFO - Keyword: job search, Probability: 0.135
2025-04-28 11:30:17,593 - INFO - Keyword: jobs, Probability: 0.132
2025-04-28 11:30:17,593 - INFO - Keyword: journaling, Probability: 0.155
2025-04-28 11:30:17,593 - INFO - Keyword: language learning, Probability: 0.132
2025-04-28 11:30:17,593 - INFO - Keyword: learning, Probability: 0.155
2025-04-28 11:30:17,593 - INFO - Keyword: linkedin, Probability: 0.130
2025-04-28 11:30:17,593 - INFO - Keyword: marketing, Probability: 0.747
2025-04-28 11:30:17,593 - INFO - Keyword: marketing strategies, Probability: 0.156
2025-04-28 11:30:17,593 - INFO - Keyword: marketing strategy, Probability: 0.572
2025-04-28 11:30:17,593 - INFO - Keyword: meal_prep, Probability: 0.137
2025-04-28 11:30:17,593 - INFO - Keyword: meditation, Probability: 0.161
2025-04-28 11:30:17,593 - INFO - Keyword: mental health, Probability: 0.145
2025-04-28 11:30:17,593 - INFO - Keyword: mental_health, Probability: 0.205
2025-04-28 11:30:17,593 - INFO - Keyword: mindfulness, Probability: 0.133
